"title","name","image_url"
"Trinomics","trinomics","http://trinomics.eu/wp-content/uploads/2015/09/trinomics-logo-header.png"
"University of the West of England, Bristol","uwe-bristol","http://style.uwe.ac.uk/branding/couplets/engine/images/logo.png"
"Statistics Netherlands CBS","cbs","https://www.cbs.nl/Content/images/cbs-brand.svg"
"Technical University of Denmark","university-denmark",
"Norwegian Institute for Air Research","nilu","http://www.nilu.no/Portals/0/Logo_transparent.png"
"PBL Netherlands Environmental Assessment Agency","pbl","http://www.pbl.nl//sites/all/themes/rijkshuisstijl_pbl_v3/logos/RO_PL_Logo_Homepage_en.png"
"REC Regional Environmental Centre for Central and Eastern Europe","rec","http://www.rec.org/assets/images/REC_logo.png"
"Techne Consulting","techne",
"Transport & Mobility Leuven","tmleuven","http://www.tmleuven.com/about/TML_logo_RGB_transparant.png"
"University of Aveiro","university-aveiro","http://banners.ua.pt/Logos/logo_001.png"
"Municipality of Amsterdam","amsterdam-city","https://www.amsterdam.nl/views/core/images/logos/andreas.png"
"Bristol City Council","bristol-city","https://www.bristol.gov.uk/image/layout_set_logo?img_id=313637&t=1470563363901"
"Intermunicipal Community of Aveiro Region","aveiro-region","http://www.regiaodeaveiro.pt/Images/CIRA/logo.png"
"Liguria Region","liguria-region","http://www.regione.liguria.it/images/LOGOREGIONE.png"
"Municipality of Ljubljana","ljubljana-city","http://www.ljubljana.si/Static/images/logo-en.png"
"Sosnowiec City Council","sosnowiec-city",
