"title","name","image_url"
"ClairCity","claircity","http://claircitydev.cbs.nl/img/claircity.png"
"Trinomics","trinomics","http://claircitydev.cbs.nl/img/trinomics.png"
"University of the West of England, Bristol","uwe-bristol","http://claircitydev.cbs.nl/img/uwe-bristol.png"
"Statistics Netherlands CBS","cbs","http://claircitydev.cbs.nl/img/cbs.svg"
"Technical University of Denmark","university-denmark","http://claircitydev.cbs.nl/img/university-denmark.jpg"
"Norwegian Institute for Air Research","nilu","http://claircitydev.cbs.nl/img/nilu.png"
"PBL Netherlands Environmental Assessment Agency","pbl","http://claircitydev.cbs.nl/img/pbl.png"
"REC Regional Environmental Centre for Central and Eastern Europe","rec","http://claircitydev.cbs.nl/img/rec.png"
"Techne Consulting","techne","http://claircitydev.cbs.nl/img/techne.png"
"Transport & Mobility Leuven","tmleuven","http://claircitydev.cbs.nl/img/tmleuven.jpg"
"University of Aveiro","university-aveiro","http://claircitydev.cbs.nl/img/university-aveiro.png"
"Municipality of Amsterdam","amsterdam-city","http://claircitydev.cbs.nl/img/amsterdam-city.png"
"Bristol City Council","bristol-city","http://claircitydev.cbs.nl/img/bristol-city.png"
"Intermunicipal Community of Aveiro Region","aveiro-region","http://claircitydev.cbs.nl/img/aveiro-region.png"
"Liguria Region","liguria-region","http://claircitydev.cbs.nl/img/liguria-region.png"
"Municipality of Ljubljana","ljubljana-city","http://claircitydev.cbs.nl/img/ljubljana-city.png"
"Sosnowiec City Council","sosnowiec-city","http://claircitydev.cbs.nl/img/sosnowiec-city.png"
